num_chars_s1,num_chars_s2,num_tokens_s1,num_tokens_s2,num_stopwords_s1,num_stopwords_s2,num_token_overlap,num_lemma_overlap,num_nouns_s1,num_nouns_s2,num_verbs_s1,num_verbs_s2,num_adj_s1,num_adj_s2
32,32,5,5,1,1,2,2,1,2,2,1,0,0
81,59,16,14,7,8,6,6,5,4,2,1,0,0
57,48,10,10,3,4,7,8,5,4,1,1,0,0
54,48,9,7,2,1,5,5,3,3,2,2,0,0
112,86,19,20,8,9,4,4,4,2,1,3,1,2
39,52,8,10,3,3,6,6,3,5,1,1,0,0
65,83,10,14,2,5,5,6,2,3,2,1,3,1
106,88,21,17,10,8,13,12,3,2,3,2,2,2
55,43,8,8,0,1,3,3,3,1,1,1,1,2
76,49,19,13,12,9,13,12,3,2,0,0,1,1
24,28,4,5,1,2,2,2,0,0,1,0,1,2
34,37,6,6,1,2,1,1,1,1,1,1,2,0
36,32,7,6,3,2,4,4,1,1,1,1,1,0
25,28,7,6,3,3,4,4,2,1,1,1,0,0
56,56,11,10,4,2,6,6,3,3,1,1,0,0
26,42,7,9,3,4,6,6,2,2,1,2,0,0
36,38,7,8,1,2,4,7,2,2,1,1,0,0
31,30,5,5,0,0,3,3,1,1,1,1,1,1
21,20,6,6,4,4,5,5,1,1,1,1,0,0
44,53,7,8,2,2,5,6,2,1,1,2,0,0
34,41,5,7,1,2,3,4,0,1,1,1,0,0
31,28,7,7,3,3,3,3,2,2,1,1,0,0
95,106,13,20,5,9,1,1,3,7,2,3,1,0
81,61,15,13,4,2,8,8,2,3,2,1,1,0
35,30,9,7,4,3,3,4,0,1,2,2,0,0
162,157,27,25,9,5,15,15,9,10,6,5,1,1
52,79,10,16,5,8,4,4,4,5,0,2,0,1
166,157,31,30,11,10,19,19,6,6,3,1,2,3
81,71,18,16,10,10,16,15,4,4,2,2,3,1
52,44,11,10,5,4,9,8,3,3,1,1,1,1
22,56,6,10,4,6,5,5,1,1,1,2,1,1
39,40,9,7,4,1,1,1,3,2,0,2,0,0
38,33,7,6,1,1,1,1,1,2,2,1,1,0
32,26,7,6,3,2,3,3,2,2,1,1,0,0
40,36,11,8,4,5,6,6,0,1,2,2,0,0
52,60,13,13,3,3,8,9,6,6,1,1,1,1
128,94,28,20,6,5,13,13,6,3,3,0,0,1
69,58,12,10,2,1,8,8,4,2,2,1,0,0
24,32,8,7,4,3,4,5,3,2,1,1,0,0
30,39,6,8,2,3,6,6,2,3,1,1,0,0
37,45,6,9,0,1,4,5,2,2,1,1,1,1
26,27,7,7,3,3,5,5,2,2,1,1,0,0
63,42,13,10,5,5,5,6,3,3,1,1,3,0
44,47,8,7,1,1,5,5,3,3,1,2,0,0
89,141,18,29,5,7,11,11,3,5,0,2,1,3
87,101,19,20,4,5,7,7,2,3,1,1,1,0
248,209,43,35,19,17,20,21,5,5,7,5,2,4
86,96,20,17,13,6,3,3,0,5,2,1,2,2
45,52,7,8,1,3,3,3,0,1,2,1,0,0
69,75,15,16,7,8,7,6,6,6,1,1,0,0
43,46,11,12,4,5,7,7,2,3,1,1,3,2
24,33,6,9,2,4,5,5,2,3,1,1,0,0
30,31,7,6,3,2,4,4,2,1,1,1,0,0
32,38,8,9,5,6,7,8,2,2,1,1,0,0
106,113,21,21,7,5,14,14,5,4,2,2,2,4
46,53,8,9,2,2,3,3,3,5,0,1,2,1
66,64,12,12,4,4,8,8,4,4,1,1,0,0
46,89,12,22,4,12,7,7,3,5,1,2,2,2
178,141,36,29,10,7,24,24,6,5,4,2,3,2
60,82,13,15,6,9,5,6,3,3,0,2,2,2
42,43,9,9,4,4,6,5,2,2,1,1,1,1
46,39,10,9,4,4,7,8,3,3,1,1,1,0
65,54,18,15,7,6,14,14,4,4,1,1,1,0
45,34,11,9,5,4,3,2,3,2,1,1,1,1
33,34,9,9,4,4,5,4,3,3,1,1,0,0
76,59,15,12,9,6,9,9,2,2,1,2,1,1
112,74,21,15,8,4,11,12,4,3,3,2,1,0
55,60,9,11,1,3,3,3,3,5,1,1,0,1
49,54,8,11,2,3,2,2,3,3,1,2,1,0
32,62,8,15,6,9,4,4,1,3,1,2,1,1
32,34,7,7,3,3,5,5,2,2,1,1,0,0
49,31,12,8,6,4,3,4,3,2,2,1,0,0
167,150,35,30,9,9,23,22,5,2,4,4,1,1
34,25,6,4,0,0,2,2,2,1,1,1,0,1
76,122,19,26,10,15,12,13,2,4,3,3,0,0
41,49,5,8,1,3,2,2,1,3,1,0,1,1
55,51,13,12,5,5,6,5,4,4,1,1,2,1
51,34,11,8,5,3,5,5,2,2,1,1,2,1
43,37,10,8,4,3,4,5,4,3,1,1,0,0
34,30,7,4,1,0,0,0,1,1,1,1,0,1
34,43,6,9,1,1,3,3,2,2,1,2,0,0
42,34,6,5,1,1,2,2,2,3,1,0,1,0
46,47,6,8,1,1,1,1,3,2,2,1,0,0
50,53,8,8,2,2,4,6,2,2,1,1,0,0
45,46,9,9,2,2,8,8,3,3,1,1,2,2
42,26,9,7,4,3,5,5,2,2,2,1,0,0
46,45,11,10,5,3,7,7,3,3,0,0,1,2
64,90,13,17,7,8,2,3,3,5,1,2,2,0
63,84,13,16,7,7,9,10,3,5,1,1,0,1
39,35,8,7,3,2,4,4,1,1,0,1,1,0
24,21,7,6,4,3,4,5,1,1,1,1,0,0
27,24,6,6,2,2,5,5,2,2,1,1,0,0
25,28,6,6,2,2,4,5,2,2,1,1,0,0
37,27,10,8,4,4,5,5,3,2,1,1,0,0
45,57,9,10,4,2,4,5,1,1,1,1,1,1
33,44,7,9,4,5,6,6,1,2,1,2,2,1
77,111,15,20,4,9,4,4,2,5,1,0,2,5
38,36,6,7,2,3,2,2,2,0,1,1,0,1
56,53,9,7,1,1,1,1,5,3,1,2,0,1
33,32,9,9,4,5,8,8,3,3,1,0,0,0
78,54,18,14,11,8,10,10,2,0,2,2,2,2
43,53,8,10,1,2,2,2,3,2,1,3,2,1
21,18,4,4,1,1,2,2,1,1,1,1,0,0
32,21,7,5,3,1,2,3,2,2,1,0,0,1
40,34,8,8,3,4,6,7,2,2,1,1,0,0
94,75,20,18,5,5,10,12,6,5,1,0,2,2
47,50,8,9,2,2,1,1,3,4,2,2,0,0
36,46,6,7,1,1,1,1,1,2,1,1,0,0
55,47,11,10,4,5,6,6,3,3,2,1,1,1
128,105,27,22,11,9,20,20,7,7,0,0,1,0
160,156,30,28,7,11,14,14,6,8,4,4,1,0
26,24,6,7,3,3,4,4,2,2,1,1,0,0
53,59,11,10,2,2,7,7,1,1,1,2,0,0
77,108,14,18,8,8,7,7,2,2,0,2,1,0
47,38,10,9,1,3,5,5,2,2,1,1,4,2
37,40,10,9,2,4,5,6,4,2,0,0,3,2
68,46,18,12,13,8,8,8,0,0,5,4,0,0
32,49,7,12,3,5,4,3,3,3,0,0,0,2
55,41,12,9,6,3,5,5,4,4,1,1,0,0
68,60,15,14,6,6,9,8,4,4,1,1,3,2
80,63,15,15,7,7,6,5,4,3,2,3,1,1
159,136,29,25,8,5,17,18,2,2,2,1,5,4
50,59,10,12,3,4,8,8,3,3,0,1,3,3
47,40,8,7,0,0,4,4,2,1,2,2,0,1
47,64,11,13,5,6,9,8,2,3,1,1,2,2
57,37,15,10,9,5,6,7,2,1,0,0,2,1
43,38,9,9,3,4,6,6,2,2,1,1,2,1
81,102,18,22,8,11,7,8,3,5,3,4,3,0
22,26,6,7,2,3,4,3,2,2,1,1,0,0
59,58,15,14,7,7,5,4,5,4,1,2,1,1
46,58,11,13,6,7,3,2,4,5,1,1,1,0
111,147,19,26,7,11,16,16,4,4,3,4,3,4
29,23,8,6,4,2,3,3,2,2,1,1,0,0
57,82,9,15,2,5,3,4,2,4,2,2,1,2
36,54,7,10,1,2,1,1,2,2,1,2,0,0
65,56,14,10,6,3,3,5,4,3,2,2,2,1
51,52,12,12,5,6,3,2,4,2,1,2,1,1
27,29,6,7,2,3,4,5,2,2,1,1,0,0
166,154,30,26,14,10,20,19,5,5,3,3,0,0
53,38,8,6,1,1,4,4,2,1,1,1,0,0
161,190,28,34,11,13,22,23,7,6,5,7,1,2
121,137,20,24,3,7,12,12,6,6,2,3,1,0
42,43,6,7,0,0,2,3,0,0,1,1,1,1
32,24,7,7,5,6,4,5,0,0,1,1,0,0
41,38,7,7,1,1,4,4,3,2,1,1,0,0
30,38,6,8,2,4,5,5,0,2,0,0,2,1
32,42,5,7,0,2,1,3,2,2,1,1,1,1
66,68,15,16,7,8,11,11,4,4,1,1,2,2
106,119,26,30,6,8,13,14,6,7,1,0,1,0
54,57,10,13,4,7,6,7,1,3,1,1,2,1
21,31,5,7,2,2,2,2,1,3,1,1,0,0
30,25,9,7,5,4,5,7,1,1,2,1,0,0
90,96,19,19,9,9,12,12,4,3,1,2,2,3
47,53,10,12,4,5,9,9,2,2,1,1,0,0
41,29,7,4,2,0,3,3,3,2,1,1,0,0
105,130,19,24,6,8,16,17,4,6,2,2,3,4
108,109,18,22,9,15,3,4,4,4,4,2,1,1
31,33,7,7,3,2,3,3,2,2,1,1,0,0
102,132,17,23,8,10,12,14,3,3,1,2,1,1
80,57,16,11,4,3,5,6,5,3,1,1,0,3
28,46,7,11,3,6,5,5,2,3,0,0,1,2
23,34,5,8,3,3,3,3,1,3,1,1,0,0
50,58,11,11,2,3,4,4,3,3,1,1,0,2
34,40,8,9,3,3,7,7,3,3,1,1,0,1
37,67,6,9,0,2,2,2,2,4,1,2,1,0
35,34,11,10,5,4,7,6,4,4,0,0,1,1
25,26,6,7,2,3,5,6,2,2,1,1,0,0
66,88,14,19,7,10,10,12,3,2,1,1,3,4
30,40,5,7,0,0,2,2,2,2,1,1,1,1
89,111,19,23,5,8,9,10,5,4,1,1,1,3
47,60,9,10,4,2,4,5,2,3,1,1,0,0
45,38,10,10,5,5,4,5,3,3,1,1,1,0
35,38,5,7,1,1,2,3,1,1,1,1,1,2
35,40,6,6,0,1,2,3,1,2,1,1,0,0
51,43,8,7,2,2,5,5,3,2,1,1,2,2
60,68,11,12,3,3,7,7,0,2,2,2,0,0
128,114,21,21,8,9,7,9,6,5,2,2,1,3
51,44,9,7,3,2,5,6,2,2,1,1,1,0
35,28,9,7,5,3,5,6,2,2,0,0,2,1
30,21,6,5,3,2,4,4,1,1,1,1,0,0
27,30,7,7,3,3,5,5,2,2,1,1,0,0
158,160,32,33,8,8,24,24,3,4,3,2,3,2
123,172,22,31,9,13,17,17,1,3,2,3,0,1
61,45,14,11,8,5,4,4,5,4,1,0,1,1
65,51,12,10,6,4,6,7,3,1,2,2,1,0
39,43,9,10,3,3,7,7,2,2,1,1,2,3
138,120,26,20,10,7,10,11,6,4,2,1,4,3
48,43,10,10,3,3,5,5,0,2,2,1,0,0
36,29,7,7,2,3,4,4,3,2,1,1,0,0
85,86,18,22,11,14,3,4,4,3,3,2,0,1
94,50,20,12,10,6,7,7,6,4,2,1,2,1
38,30,8,6,2,1,6,6,2,2,1,1,2,1
35,31,7,6,2,2,3,3,3,3,2,1,0,0
45,52,11,12,4,5,8,7,4,5,1,1,1,0
36,32,6,5,1,1,1,1,2,1,1,1,1,0
38,40,9,9,2,2,5,5,1,1,2,2,0,0
36,35,10,8,5,4,5,5,3,2,1,1,0,0
28,26,7,7,3,3,4,4,2,2,1,1,0,0
125,112,28,28,10,11,18,18,5,6,0,0,3,2
53,55,8,9,0,1,4,4,3,5,2,1,1,1
51,43,10,8,1,0,7,7,4,3,1,1,2,2
68,67,14,17,6,6,3,4,3,3,1,1,1,1
49,42,8,6,3,0,1,2,2,4,1,1,1,0
44,46,10,9,6,5,5,6,1,1,2,1,0,1
46,43,9,8,3,1,5,5,3,3,0,0,2,3
135,83,26,15,11,8,6,7,6,3,1,2,1,1
36,29,8,7,3,3,6,6,2,2,1,1,1,0
60,48,8,6,1,1,1,1,2,2,2,1,0,1
40,50,9,11,4,7,5,7,2,2,1,1,0,0
35,31,6,6,2,2,5,5,2,2,1,1,0,0
69,77,15,16,9,8,7,7,1,1,1,3,1,1
59,86,14,20,8,12,12,13,4,6,2,2,0,0
39,61,8,11,3,5,3,4,3,3,1,2,0,0
90,64,17,13,8,6,2,2,3,4,1,0,1,1
28,29,7,7,3,3,5,4,2,2,1,1,0,0
73,79,14,14,8,7,6,7,1,4,2,1,2,2
38,48,8,11,4,6,6,6,2,3,1,1,0,0
45,47,10,10,5,4,8,8,3,4,0,0,2,2
52,62,8,11,1,1,6,6,1,2,1,1,0,1
44,29,10,7,5,3,7,6,3,2,1,1,0,0
59,58,14,13,7,6,7,7,4,4,1,1,1,1
65,49,15,11,6,4,4,4,4,5,2,1,2,0
196,147,32,26,13,10,23,22,2,3,6,5,4,3
36,22,12,8,6,4,7,6,5,3,0,0,0,0
50,36,13,8,8,3,6,6,1,1,3,1,0,1
137,135,24,24,10,10,18,18,3,3,4,3,1,1
89,112,16,23,2,9,14,14,2,3,2,3,1,1
67,77,15,15,10,9,3,4,2,1,2,2,2,2
63,49,12,11,5,5,3,3,4,3,1,0,1,2
97,62,18,13,5,6,5,5,7,2,1,0,1,3
81,66,19,16,8,5,11,11,2,2,1,1,1,0
46,42,8,7,3,1,4,4,2,2,1,1,0,1
49,54,11,12,5,6,7,7,3,3,1,1,1,1
47,50,9,12,4,5,7,7,2,3,2,2,0,0
42,59,9,9,5,3,2,2,0,3,1,1,1,0
52,59,13,14,6,5,7,6,4,4,1,2,1,2
58,67,15,16,12,12,9,8,2,2,2,2,0,0
39,46,9,9,1,2,3,3,1,2,1,1,1,1
43,33,9,6,1,0,1,1,2,1,1,1,1,0
31,33,5,6,1,0,2,2,1,1,1,1,1,1
18,27,6,7,2,3,5,5,1,2,1,1,0,0
34,35,5,8,1,1,1,2,2,3,0,1,2,1
96,68,20,16,5,5,12,12,3,3,1,1,1,2
42,43,6,7,1,1,3,5,3,3,1,1,0,0
21,26,7,9,4,5,5,6,1,1,0,0,1,1
37,29,7,4,1,1,2,2,1,1,0,0,1,1
37,41,8,9,4,4,7,7,1,2,1,1,2,2
48,48,8,8,0,1,4,5,2,3,2,1,0,0
23,43,7,11,5,8,4,5,0,2,2,1,0,1
127,89,28,16,13,9,2,3,6,2,3,2,3,1
46,42,6,6,0,1,3,3,1,0,1,1,2,0
45,67,9,10,3,1,1,2,3,2,0,1,1,3
32,25,7,7,3,3,4,4,1,2,1,1,1,0
49,43,8,7,1,0,5,4,2,2,1,2,1,1
39,46,9,10,3,4,7,8,2,2,2,2,0,0
33,28,8,6,4,2,2,3,2,2,1,1,0,0
33,35,5,5,0,0,3,3,2,2,0,1,1,1
28,20,6,6,3,3,1,2,2,2,0,1,1,0
101,111,20,23,11,14,8,10,4,4,2,3,1,0
49,40,11,9,4,3,5,5,3,3,0,1,3,1
50,60,9,11,4,4,8,8,2,4,1,1,0,1
65,121,12,23,4,10,3,3,3,4,2,1,1,4
129,139,27,28,6,9,16,16,5,5,3,3,0,0
48,50,10,10,3,2,3,4,2,2,1,2,2,0
42,50,11,11,8,7,4,4,1,2,1,1,1,1
45,32,11,9,6,4,4,4,3,3,1,1,0,0
61,53,15,12,6,6,9,8,4,4,0,0,2,1
61,49,11,9,4,3,6,6,5,4,2,2,0,0
50,41,11,8,3,2,6,6,2,3,2,1,0,0
44,36,9,8,4,3,7,7,2,1,1,1,1,2
48,47,11,9,4,2,5,6,3,3,1,1,2,2
36,33,8,7,2,2,4,4,1,1,0,0,1,1
66,44,10,8,1,1,4,4,3,1,1,1,0,0
48,40,7,5,2,0,1,1,1,3,1,0,1,0
38,37,9,7,4,1,4,4,3,2,1,1,0,2
33,36,7,8,2,3,3,3,2,2,1,1,1,0
41,41,6,7,1,1,5,5,2,2,1,1,1,1
27,25,8,9,4,3,5,4,2,3,1,1,0,0
56,48,12,10,5,4,7,8,3,4,1,0,2,0
100,69,22,12,9,6,2,2,2,4,3,1,2,0
56,55,7,9,1,2,1,1,3,1,0,1,3,0
33,43,5,6,1,1,4,4,2,1,1,1,0,0
74,106,13,18,5,8,12,12,3,5,1,1,0,0
40,34,9,8,4,4,7,6,2,2,1,1,1,0
27,28,6,7,2,3,3,3,2,2,1,1,0,0
30,24,6,5,3,2,4,4,1,1,1,0,0,0
53,49,8,8,1,2,3,3,3,3,1,1,2,1
55,80,9,13,2,3,6,4,0,3,0,1,0,0
36,30,9,8,4,4,7,6,3,2,1,1,0,0
43,38,10,9,4,4,4,4,3,3,2,1,0,0
70,93,12,16,4,5,8,9,2,2,2,2,1,1
44,34,8,5,1,0,1,1,1,1,1,1,0,1
26,23,7,7,3,3,6,5,2,2,1,1,0,0
106,97,20,22,5,6,12,12,5,3,1,0,0,0
54,55,10,11,5,4,4,4,3,3,1,2,0,1
33,54,8,12,4,4,4,4,2,2,1,1,0,1
88,93,19,20,4,7,6,7,5,3,1,0,0,1
112,80,19,14,8,7,10,11,4,4,1,1,2,0
63,61,11,10,3,2,8,8,2,2,1,1,1,2
124,124,19,20,6,8,14,15,5,6,2,1,4,4
26,38,7,9,3,4,7,6,2,2,1,2,0,0
47,49,7,7,0,0,4,4,3,3,1,1,0,1
28,39,6,7,2,2,4,4,2,2,1,1,0,2
71,65,18,16,8,8,8,7,6,5,1,0,1,2
50,44,7,7,0,1,2,2,2,2,2,1,1,1
42,63,11,14,6,8,6,7,3,3,1,1,1,3
51,48,11,11,4,3,2,2,3,3,3,2,0,2
33,39,7,8,4,5,4,4,1,1,2,1,0,1
73,96,13,16,5,7,8,8,3,3,1,2,1,2
39,44,8,9,2,4,1,1,1,1,2,1,0,0
33,50,5,9,1,2,3,3,1,4,1,0,0,1
89,93,15,15,6,8,9,9,3,4,2,2,0,2
60,70,14,13,6,4,8,7,5,4,1,1,1,3
31,31,7,8,3,4,4,4,2,2,1,1,0,0
48,60,8,13,2,1,6,6,1,1,1,1,1,1
35,30,9,7,4,2,4,5,3,3,1,1,0,0
55,73,8,12,3,5,4,4,2,3,1,0,1,2
37,44,9,9,3,2,5,5,2,3,1,1,2,2
56,49,11,7,3,2,3,3,1,2,0,1,4,1
68,70,18,18,13,13,9,9,0,1,5,3,0,1
81,82,19,21,4,6,11,12,1,2,2,2,0,0
90,84,17,14,8,5,7,7,3,3,3,2,0,1
77,96,13,15,6,5,9,9,3,3,0,1,2,2
59,71,8,12,2,6,6,6,4,3,1,2,1,3
53,45,12,10,5,4,4,5,4,4,2,1,0,0
109,79,21,15,11,7,13,13,2,2,4,3,0,0
38,50,9,11,6,8,8,9,2,2,1,1,0,0
116,110,20,20,10,11,15,15,4,4,4,3,0,1
52,40,12,9,6,4,5,4,3,2,1,1,2,1
